BOA* + CH	2995	2515	31	8	1	0.080243	0.080078
BOA* + CH	1443	433	48	13	2	0.078424	0.0782
BOA* + CH	22660	16133	136	34	2	0.080766	0.079961
BOA* + CH	35027	15790	130	20	2	0.080517	0.079894
BOA* + CH	199719	25126	386	63	2	0.082462	0.080427
BOA* + CH	15430	13102	142	32	3	0.083574	0.082615
BOA* + CH	78621	73259	99	27	3	0.081413	0.080736
BOA* + CH	4531	638	139	26	4	0.080373	0.079512
BOA* + CH	25783	25006	257	63	5	0.082208	0.080498
BOA* + CH	36255	28938	244	63	6	0.081853	0.080345
BOA* + CH	59415	57572	221	52	6	0.081687	0.080382
BOA* + CH	119727	59624	182	63	6	0.082062	0.080655
BOA* + CH	36925	22048	429	140	9	0.08914	0.085623
BOA* + CH	118369	50577	581	158	9	0.086578	0.082583
BOA* + CH	14361	9409	251	120	10	0.083017	0.081196
BOA* + CH	34163	31977	405	162	11	0.084723	0.08131
BOA* + CH	76252	62469	365	141	12	0.081005	0.078444
BOA* + CH	28221	17517	296	122	13	0.08774	0.085432
BOA* + CH	44994	37058	584	328	15	0.089063	0.08147
BOA* + CH	95256	35388	695	296	21	0.086299	0.080306
BOA* + CH	181547	162984	514	244	21	0.095646	0.090004
BOA* + CH	256351	4977	424	158	23	0.092653	0.089923
BOA* + CH	41228	23956	723	435	26	0.090397	0.0824
BOA* + CH	164821	158010	609	366	26	0.091486	0.085271
BOA* + CH	261555	181288	1521	738	26	0.099726	0.083483
BOA* + CH	62542	24671	2097	407	27	0.092208	0.079722
BOA* + CH	100382	20098	1960	675	27	0.097938	0.079883
BOA* + CH	213528	67115	1443	456	28	0.092673	0.08163
BOA* + CH	48021	38268	906	404	30	0.094547	0.084215
BOA* + CH	225008	31517	626	273	30	0.084334	0.079266
BOA* + CH	195672	181405	2864	790	32	0.108279	0.083045
BOA* + CH	24977	18201	717	342	34	0.087585	0.081694
BOA* + CH	200004	30228	2267	1073	37	0.102691	0.080115
BOA* + CH	138538	3324	1105	554	41	0.08914	0.080232
BOA* + CH	253906	234570	1863	938	42	0.099438	0.07983
BOA* + CH	28493	5425	4209	1128	42	0.113289	0.080614
BOA* + CH	20754	7330	353	197	44	0.089403	0.086414
BOA* + CH	39855	20386	1254	540	47	0.108095	0.095787
BOA* + CH	40931	18273	2109	812	49	0.106416	0.088873
BOA* + CH	36274	34196	4034	1452	50	0.118369	0.081597
BOA* + CH	90568	57876	1576	831	50	0.091974	0.079241
BOA* + CH	178689	1476	2047	690	55	0.097463	0.08075
BOA* + CH	250971	8825	2032	667	56	0.103888	0.086272
BOA* + CH	125217	38247	3658	1378	60	0.120113	0.089041
BOA* + CH	249958	179744	2803	1681	64	0.110765	0.079733
BOA* + CH	48345	4503	5410	2196	65	0.14542	0.086331
BOA* + CH	149399	60601	2394	1109	65	0.105481	0.083275
BOA* + CH	134597	85328	26361	6511	75	0.283061	0.079985
BOA* + CH	68380	18692	9802	1933	86	0.161347	0.086647
BOA* + CH	177807	18352	5912	3019	86	0.16197	0.088125
BOA* + CH	186123	3616	2974	968	88	0.107012	0.083282
BOA* + CH	198304	20764	3662	1614	88	0.120684	0.082308
BOA* + CH	41921	22388	18251	5938	89	0.268838	0.081819
BOA* + CH	45994	12187	7713	1795	89	0.139353	0.082077
BOA* + CH	111194	99775	2805	1191	91	0.104705	0.080945
BOA* + CH	195290	155602	21307	4765	96	0.25044	0.080336
BOA* + CH	35044	5537	9678	2556	104	0.176364	0.091567
BOA* + CH	220385	165371	20240	9338	111	0.315986	0.081549
BOA* + CH	251638	207423	5023	1618	108	0.122491	0.080826
BOA* + CH	67627	25726	16255	4130	111	0.21496	0.078789
BOA* + CH	10081	4812	1908	895	114	0.136868	0.114729
BOA* + CH	222011	63311	2644	920	114	0.117181	0.088676
BOA* + CH	16545	4293	3727	1559	116	0.136611	0.101035
BOA* + CH	47198	7430	13512	4002	116	0.223722	0.08831
BOA* + CH	241775	173475	13429	5456	121	0.212255	0.080958
BOA* + CH	69469	4625	53428	11411	123	0.565239	0.081598
BOA* + CH	151206	80906	4412	2235	142	0.133859	0.091064
BOA* + CH	65826	40164	14715	3882	150	0.219959	0.085421
BOA* + CH	121237	41114	11462	2386	152	0.165388	0.078608
BOA* + CH	12856	6411	10102	4641	164	0.188971	0.07938
BOA* + CH	153314	147209	25838	8864	165	0.320527	0.079247
BOA* + CH	141879	21617	11437	4104	168	0.186188	0.080976
BOA* + CH	150351	114427	12206	6363	173	0.21911	0.078738
BOA* + CH	229305	122937	25634	6329	173	0.300267	0.083224
BOA* + CH	223402	214993	7601	3867	196	0.163181	0.080986
BOA* + CH	220444	112320	30346	6006	199	0.361924	0.094974
BOA* + CH	135529	74225	31868	8960	200	0.378396	0.087947
BOA* + CH	230583	70149	17149	5602	202	0.246931	0.0818
BOA* + CH	140274	112105	11075	3981	205	0.188275	0.083118
BOA* + CH	140656	30391	31956	9576	214	0.411328	0.088197
