BOA* + CH	2995	2515	31	8	1	0.047263	0.04711
BOA* + CH	1443	433	48	13	2	0.050019	0.049791
BOA* + CH	22660	16133	181	33	2	0.052695	0.051631
BOA* + CH	35027	15790	176	18	2	0.051855	0.051087
BOA* + CH	199719	25126	377	45	2	0.052081	0.050228
BOA* + CH	15430	13102	185	28	3	0.05187	0.050617
BOA* + CH	78621	73259	92	27	3	0.048704	0.04812
BOA* + CH	4531	638	146	26	4	0.050225	0.049274
BOA* + CH	25783	25006	299	50	5	0.053901	0.052029
BOA* + CH	36255	28938	322	58	6	0.054563	0.052526
BOA* + CH	59415	57572	359	52	6	0.06235	0.060317
BOA* + CH	119727	59624	193	63	6	0.062479	0.060915
BOA* + CH	36925	22048	503	127	9	0.062523	0.058093
BOA* + CH	118369	50577	697	144	9	0.056696	0.052008
BOA* + CH	14361	9409	281	119	10	0.053874	0.051799
BOA* + CH	34163	31977	489	153	11	0.054021	0.049798
BOA* + CH	76252	62469	401	129	12	0.051939	0.04902
BOA* + CH	28221	17517	309	111	13	0.053337	0.050812
BOA* + CH	44994	37058	630	302	15	0.061787	0.052199
BOA* + CH	95256	35388	701	245	21	0.055884	0.050354
BOA* + CH	181547	162984	511	212	21	0.055137	0.050221
BOA* + CH	256351	4977	436	158	23	0.052538	0.049627
BOA* + CH	41228	23956	680	329	26	0.060628	0.050766
BOA* + CH	164821	158010	617	327	26	0.05782	0.051117
BOA* + CH	261555	181288	1276	511	26	0.067708	0.051524
BOA* + CH	62542	24671	1897	331	27	0.062504	0.0509
BOA* + CH	100382	20098	1580	522	27	0.067236	0.05063
BOA* + CH	213528	67115	1300	385	28	0.064762	0.052657
BOA* + CH	48021	38268	1072	404	30	0.069257	0.055105
BOA* + CH	225008	31517	756	273	30	0.057478	0.050817
BOA* + CH	195672	181405	2619	606	32	0.076161	0.051504
BOA* + CH	24977	18201	671	302	34	0.060006	0.054031
BOA* + CH	200004	30228	1940	879	37	0.077306	0.054762
BOA* + CH	138538	3324	1065	483	41	0.059681	0.050566
BOA* + CH	253906	234570	1392	650	42	0.065233	0.048229
BOA* + CH	28493	5425	2876	709	42	0.0723	0.049761
BOA* + CH	20754	7330	392	183	44	0.054698	0.051018
BOA* + CH	39855	20386	1129	443	47	0.063253	0.051229
BOA* + CH	40931	18273	2113	682	49	0.06788	0.050959
BOA* + CH	36274	34196	3165	1078	50	0.084472	0.052323
BOA* + CH	90568	57876	1472	739	50	0.062799	0.049721
BOA* + CH	178689	1476	1433	328	55	0.058924	0.048732
BOA* + CH	250971	8825	2529	631	56	0.071758	0.051583
BOA* + CH	125217	38247	4437	1351	60	0.095617	0.054681
BOA* + CH	249958	179744	2517	1337	64	0.092864	0.058284
BOA* + CH	48345	4503	4431	1691	65	0.117639	0.060577
BOA* + CH	149399	60601	2209	906	65	0.075792	0.053126
BOA* + CH	134597	85328	20189	3893	75	0.213145	0.049803
BOA* + CH	68380	18692	9006	1527	86	0.117999	0.04983
BOA* + CH	177807	18352	4242	2025	86	0.113852	0.051142
BOA* + CH	186123	3616	2506	716	88	0.070013	0.051465
BOA* + CH	198304	20764	3065	1112	88	0.084866	0.052803
BOA* + CH	41921	22388	15612	4240	89	0.21805	0.049975
BOA* + CH	45994	12187	8409	1462	89	0.118168	0.055191
BOA* + CH	111194	99775	2798	929	91	0.074735	0.051943
BOA* + CH	195290	155602	17567	3270	96	0.194903	0.049516
BOA* + CH	35044	5537	7306	1972	104	0.110413	0.052162
BOA* + CH	220385	165371	13801	6492	111	0.219609	0.050646
BOA* + CH	251638	207423	4862	1306	108	0.095642	0.053325
BOA* + CH	67627	25726	11954	2503	111	0.16153	0.051597
BOA* + CH	10081	4812	1987	822	114	0.076108	0.051133
BOA* + CH	222011	63311	2434	714	114	0.082624	0.058678
BOA* + CH	16545	4293	4173	1502	116	0.093504	0.05959
BOA* + CH	47198	7430	15049	3236	116	0.19477	0.052953
BOA* + CH	241775	173475	10795	3687	121	0.168701	0.051307
BOA* + CH	69469	4625	44907	7010	123	0.424897	0.050131
BOA* + CH	151206	80906	2815	1525	142	0.085682	0.054031
BOA* + CH	65826	40164	12903	2922	150	0.174627	0.051296
BOA* + CH	121237	41114	10672	1827	152	0.13753	0.051042
BOA* + CH	12856	6411	8328	3430	164	0.156996	0.051563
BOA* + CH	153314	147209	20824	6715	165	0.27784	0.051842
BOA* + CH	141879	21617	9761	3025	168	0.160945	0.057274
BOA* + CH	150351	114427	8334	4661	173	0.169254	0.051248
BOA* + CH	229305	122937	20895	4069	173	0.269623	0.064028
BOA* + CH	223402	214993	5364	2837	196	0.121111	0.053155
BOA* + CH	220444	112320	27733	4852	199	0.274791	0.04946
BOA* + CH	135529	74225	20842	5524	200	0.254322	0.050846
BOA* + CH	230583	70149	12621	3717	202	0.20829	0.048361
BOA* + CH	140274	112105	8051	2940	205	0.152739	0.062449
BOA* + CH	140656	30391	23547	6369	214	0.289154	0.053281
BOA* + CH	37208	6014	65353	10449	215	0.631878	0.055845
BOA* + CH	240557	161333	26826	4865	220	0.30707	0.05777
BOA* + CH	154145	126806	60969	15801	221	0.700314	0.051399
BOA* + CH	210149	67703	50725	15660	227	0.637738	0.053544
BOA* + CH	136819	47443	26327	6468	228	0.316099	0.049618
BOA* + CH	32916	5186	7746	2826	229	0.138775	0.053888
BOA* + CH	183534	36489	17607	5450	241	0.250086	0.052332
BOA* + CH	237332	58601	69868	13438	241	0.693661	0.050157
BOA* + CH	237935	58802	57340	12503	244	0.634019	0.050867
BOA* + CH	159467	87587	20433	6472	245	0.238628	0.049863
BOA* + CH	201043	125328	49913	12417	249	0.688725	0.054103
BOA* + CH	217848	93272	68559	12860	265	0.717392	0.050911
BOA* + CH	183976	97618	36699	9094	284	0.435065	0.051949
BOA* + CH	161158	2532	15203	7758	362	0.250734	0.052596
BOA* + CH	151088	21713	28888	6535	363	0.309323	0.052012
BOA* + CH	234245	69549	82673	18460	421	0.922369	0.049662
BOA* + CH	222680	201425	48089	13533	438	0.580556	0.051277
BOA* + CH	219717	174928	101061	32211	464	1.32558	0.052292
BOA* + CH	175312	118708	153184	33001	509	1.59747	0.049746
BOA* + CH	208360	99990	255982	48500	646	2.78348	0.056341
