BOA* + CH	2995	2515	27	8	1	0.279489	0.279212
BOA* + CH	1443	433	58	18	2	0.288738	0.28825
BOA* + CH	22660	16133	133	49	2	0.288526	0.287461
BOA* + CH	35027	15790	124	33	2	0.310088	0.309172
BOA* + CH	199719	25126	454	112	2	0.336458	0.333591
BOA* + CH	15430	13102	174	69	3	0.2804	0.27889
BOA* + CH	78621	73259	107	46	3	0.256435	0.255647
BOA* + CH	4531	638	82	25	4	0.260019	0.259321
BOA* + CH	25783	25006	254	96	5	0.312604	0.310306
BOA* + CH	36255	28938	248	95	6	0.286999	0.285146
BOA* + CH	59415	57572	188	56	6	0.28123	0.279992
BOA* + CH	119727	59624	178	76	6	0.314322	0.312575
BOA* + CH	36925	22048	624	286	9	0.305856	0.300736
BOA* + CH	118369	50577	830	329	9	0.281964	0.275867
BOA* + CH	14361	9409	284	157	10	0.263973	0.261648
BOA* + CH	34163	31977	628	348	11	0.264928	0.260009
BOA* + CH	76252	62469	638	316	12	0.262532	0.258003
BOA* + CH	28221	17517	647	232	13	0.28436	0.279757
BOA* + CH	44994	37058	904	599	15	0.285185	0.276203
BOA* + CH	95256	35388	1589	676	21	0.31253	0.301124
BOA* + CH	181547	162984	915	382	21	0.274468	0.267669
BOA* + CH	256351	4977	509	212	23	0.281195	0.277753
BOA* + CH	41228	23956	1302	775	26	0.304276	0.289402
BOA* + CH	164821	158010	1076	624	26	0.29109	0.281678
BOA* + CH	261555	181288	3150	1609	26	0.317877	0.289796
BOA* + CH	62542	24671	4128	1128	27	0.315643	0.287507
BOA* + CH	100382	20098	4531	1857	27	0.380807	0.343758
BOA* + CH	213528	67115	3035	1106	28	0.31448	0.291605
BOA* + CH	48021	38268	1082	584	30	0.284903	0.275311
BOA* + CH	225008	31517	745	424	30	0.267949	0.262576
BOA* + CH	195672	181405	5245	1929	32	0.306412	0.26873
BOA* + CH	24977	18201	821	469	34	0.28692	0.278662
BOA* + CH	200004	30228	4691	2512	37	0.434648	0.391687
BOA* + CH	138538	3324	2954	1625	41	0.328805	0.303509
BOA* + CH	253906	234570	4653	2504	42	0.315283	0.275632
BOA* + CH	28493	5425	10308	3688	43	0.364786	0.285062
BOA* + CH	20754	7330	405	283	44	0.281198	0.277711
BOA* + CH	39855	20386	2242	1208	47	0.291056	0.272312
BOA* + CH	40931	18273	3213	1269	49	0.290825	0.265437
BOA* + CH	36274	34196	9913	4523	50	0.385561	0.290634
BOA* + CH	90568	57876	3839	2087	50	0.324901	0.294496
BOA* + CH	178689	1476	4602	1961	55	0.307298	0.271144
BOA* + CH	250971	8825	4108	1894	56	0.306416	0.274126
BOA* + CH	125217	38247	5559	2834	60	0.325035	0.274134
BOA* + CH	249958	179744	7210	4489	64	0.336979	0.274406
BOA* + CH	48345	4503	11550	5205	65	0.366356	0.267637
BOA* + CH	149399	60601	4968	2379	65	0.345123	0.305388
BOA* + CH	134597	85328	67591	22586	75	0.833825	0.262013
BOA* + CH	68380	18692	15645	5241	86	0.385444	0.269028
BOA* + CH	177807	18352	15460	8155	86	0.414625	0.270437
BOA* + CH	186123	3616	9832	3626	88	0.3764	0.293025
BOA* + CH	198304	20764	7226	3073	88	0.340579	0.283708
BOA* + CH	41921	22388	40952	17374	89	0.627723	0.263054
BOA* + CH	45994	12187	12522	4042	89	0.349072	0.259738
BOA* + CH	111194	99775	4736	2270	91	0.29984	0.262667
BOA* + CH	195290	155602	47575	16205	96	0.704694	0.262644
BOA* + CH	35044	5537	20407	6766	104	0.439473	0.284094
BOA* + CH	220385	165371	55182	24768	108	0.841549	0.295335
BOA* + CH	251638	207423	9358	3661	108	0.364252	0.287876
BOA* + CH	67627	25726	42957	15257	111	0.751275	0.315019
