BOA* + CH	2995	2515	27	8	1	0.409323	0.408965
BOA* + CH	1443	433	64	22	2	0.429841	0.429292
BOA* + CH	22660	16133	150	64	2	0.462524	0.46121
BOA* + CH	35027	15790	125	39	2	0.440519	0.439494
BOA* + CH	199719	25126	457	128	2	0.428751	0.425952
BOA* + CH	15430	13102	235	98	3	0.418227	0.416485
BOA* + CH	78621	73259	156	73	3	0.417951	0.416688
BOA* + CH	4531	638	88	31	4	0.458993	0.458277
BOA* + CH	25783	25006	284	134	5	0.442	0.439763
BOA* + CH	36255	28938	279	128	6	0.427509	0.425115
BOA* + CH	59415	57572	226	80	6	0.424715	0.423087
BOA* + CH	119727	59624	185	81	6	0.415032	0.413468
BOA* + CH	36925	22048	746	358	9	0.461245	0.455622
BOA* + CH	118369	50577	1095	505	9	0.446541	0.438769
BOA* + CH	14361	9409	378	222	10	0.416401	0.413642
BOA* + CH	34163	31977	681	394	11	0.428312	0.422997
BOA* + CH	76252	62469	1008	521	12	0.431823	0.424986
BOA* + CH	28221	17517	890	337	13	0.448948	0.443061
BOA* + CH	44994	37058	1251	871	15	0.448486	0.438126
BOA* + CH	95256	35388	2470	1055	21	0.439116	0.422128
BOA* + CH	181547	162984	1345	588	21	0.431508	0.422888
BOA* + CH	256351	4977	714	291	23	0.43893	0.433639
BOA* + CH	41228	23956	1772	1121	26	0.447533	0.432143
BOA* + CH	164821	158010	1652	996	26	0.452701	0.438946
BOA* + CH	261555	181288	4139	2161	26	0.454212	0.423317
BOA* + CH	62542	24671	5621	1719	27	0.463569	0.427577
BOA* + CH	100382	20098	7104	3030	27	0.508529	0.457708
BOA* + CH	213528	67115	4275	1765	28	0.460873	0.427091
BOA* + CH	48021	38268	1303	785	30	0.432163	0.421518
BOA* + CH	225008	31517	1071	664	30	0.428819	0.421286
BOA* + CH	195672	181405	6535	2627	32	0.460959	0.41405
BOA* + CH	24977	18201	1040	622	34	0.458575	0.450583
BOA* + CH	200004	30228	6424	3607	37	0.486293	0.435386
BOA* + CH	138538	3324	3959	2168	41	0.445282	0.416514
BOA* + CH	253906	234570	7083	4317	42	0.476094	0.420921
BOA* + CH	28493	5425	13474	5314	43	0.557953	0.451998
BOA* + CH	20754	7330	459	330	44	0.460834	0.457025
BOA* + CH	39855	20386	3582	1974	47	0.485141	0.457399
BOA* + CH	40931	18273	4335	1775	49	0.50096	0.470427
BOA* + CH	36274	34196	16673	8371	50	0.585952	0.442594
BOA* + CH	90568	57876	6450	3717	50	0.50961	0.461753
BOA* + CH	178689	1476	6299	2713	55	0.510618	0.467758
BOA* + CH	250971	8825	6190	3052	56	0.534143	0.487606
BOA* + CH	125217	38247	8330	4692	60	0.5085	0.437471
BOA* + CH	249958	179744	10646	6674	64	0.549131	0.455772
BOA* + CH	48345	4503	17274	8199	65	0.601828	0.462281
BOA* + CH	149399	60601	7181	3749	65	0.509073	0.453835
BOA* + CH	134597	85328	99489	39697	75	1.33186	0.434243
BOA* + CH	68380	18692	21749	8655	86	0.679272	0.488347
BOA* + CH	177807	18352	22840	12663	86	0.701466	0.48513
BOA* + CH	186123	3616	13222	5424	88	0.546378	0.447535
BOA* + CH	198304	20764	9458	4345	88	0.509679	0.436237
BOA* + CH	41921	22388	63908	29787	89	1.01402	0.440607
BOA* + CH	45994	12187	17719	6733	89	0.667677	0.493629
BOA* + CH	111194	99775	7559	4124	91	0.513902	0.456811
BOA* + CH	195290	155602	66925	26170	96	0.993268	0.439381
BOA* + CH	35044	5537	26424	9876	104	0.674428	0.456869
BOA* + CH	220385	165371	83646	38236	108	1.13785	0.417835
BOA* + CH	251638	207423	13770	5765	108	0.601435	0.495228
BOA* + CH	67627	25726	63474	25110	111	0.993707	0.484386
BOA* + CH	10081	4812	4206	2287	114	0.454267	0.424745
BOA* + CH	222011	63311	7134	3151	114	0.500548	0.443685
BOA* + CH	16545	4293	10389	5983	116	0.506977	0.420432
BOA* + CH	47198	7430	37944	17753	116	0.735554	0.428297
BOA* + CH	241775	173475	50627	27067	121	0.824582	0.414656
BOA* + CH	69469	4625	193177	78002	123	2.33058	0.434694
