BOA* + CH	2995	2515	34	8	1	0.562477	0.561442
BOA* + CH	1443	433	62	20	2	0.512747	0.512023
BOA* + CH	22660	16133	169	68	2	0.461854	0.460379
BOA* + CH	35027	15790	131	45	2	0.524497	0.523154
BOA* + CH	199719	25126	438	130	2	0.507426	0.504351
BOA* + CH	15430	13102	241	101	3	0.47011	0.467571
BOA* + CH	78621	73259	172	84	3	0.433115	0.431677
BOA* + CH	4531	638	77	32	4	0.4217	0.421024
BOA* + CH	25783	25006	278	122	5	0.434486	0.432327
BOA* + CH	36255	28938	289	144	6	0.450901	0.448303
BOA* + CH	59415	57572	231	90	6	0.442697	0.441023
BOA* + CH	119727	59624	204	91	6	0.41378	0.412108
BOA* + CH	36925	22048	736	365	9	0.429998	0.424578
BOA* + CH	118369	50577	1105	513	9	0.42983	0.421806
BOA* + CH	14361	9409	403	236	10	0.456464	0.453397
BOA* + CH	34163	31977	749	409	11	0.448472	0.442867
BOA* + CH	76252	62469	1036	527	12	0.425567	0.417739
BOA* + CH	28221	17517	825	338	13	0.427886	0.422199
BOA* + CH	44994	37058	1252	862	15	0.42782	0.417488
BOA* + CH	95256	35388	2559	1046	21	0.479855	0.461764
BOA* + CH	181547	162984	1321	609	21	0.438701	0.430034
BOA* + CH	256351	4977	718	298	23	0.428984	0.424235
BOA* + CH	41228	23956	1821	1141	26	0.441588	0.426593
BOA* + CH	164821	158010	1686	968	26	0.433169	0.419783
BOA* + CH	261555	181288	4090	2166	26	0.501959	0.469763
BOA* + CH	62542	24671	5180	1644	27	0.453073	0.419611
BOA* + CH	100382	20098	6987	3060	27	0.471179	0.421012
BOA* + CH	213528	67115	4272	1824	28	0.450104	0.419728
BOA* + CH	48021	38268	1284	750	30	0.466912	0.456604
BOA* + CH	225008	31517	1103	689	30	0.44184	0.43421
BOA* + CH	195672	181405	6615	2621	32	0.471723	0.426284
BOA* + CH	24977	18201	978	581	34	0.432872	0.425294
BOA* + CH	200004	30228	6479	3710	37	0.477101	0.42649
BOA* + CH	138538	3324	3984	2152	41	0.471653	0.442511
BOA* + CH	253906	234570	7260	4424	42	0.493915	0.437911
BOA* + CH	28493	5425	13376	5345	42	0.507756	0.415794
BOA* + CH	20754	7330	467	331	44	0.426492	0.42267
BOA* + CH	39855	20386	3657	2029	47	0.44845	0.419549
BOA* + CH	40931	18273	4234	1830	49	0.485535	0.456627
BOA* + CH	36274	34196	16501	8310	50	0.553795	0.42392
BOA* + CH	90568	57876	6516	3796	50	0.464366	0.415775
BOA* + CH	178689	1476	6139	2756	55	0.455889	0.413675
BOA* + CH	250971	8825	6358	3223	56	0.496253	0.448673
BOA* + CH	125217	38247	8396	4691	60	0.482706	0.415955
BOA* + CH	249958	179744	10572	6697	64	0.498377	0.414188
BOA* + CH	48345	4503	16945	8340	65	0.543199	0.411841
BOA* + CH	149399	60601	7153	3744	65	0.496701	0.442324
BOA* + CH	134597	85328	96308	38069	75	1.20121	0.43094
BOA* + CH	68380	18692	22071	8863	86	0.568754	0.41187
BOA* + CH	177807	18352	22277	12724	86	0.663714	0.457555
BOA* + CH	186123	3616	13104	5093	88	0.502337	0.413511
BOA* + CH	198304	20764	9407	4282	88	0.48738	0.415756
BOA* + CH	41921	22388	64105	30579	89	0.972083	0.415513
BOA* + CH	45994	12187	17205	6757	89	0.553236	0.428786
BOA* + CH	111194	99775	7521	4133	91	0.484848	0.429572
BOA* + CH	195290	155602	64513	25301	96	0.939766	0.424103
BOA* + CH	35044	5537	26390	9960	104	0.642387	0.444275
BOA* + CH	220385	165371	84485	39082	111	1.12722	0.413711
BOA* + CH	251638	207423	13154	5606	108	0.559682	0.452556
BOA* + CH	67627	25726	62709	25428	111	0.909058	0.424784
BOA* + CH	10081	4812	3829	2255	114	0.45225	0.42415
BOA* + CH	222011	63311	7113	3197	114	0.465662	0.413021
BOA* + CH	16545	4293	11074	6465	116	0.547796	0.462035
BOA* + CH	47198	7430	37635	18193	116	0.7229	0.413229
BOA* + CH	241775	173475	49348	26397	121	0.817019	0.412487
BOA* + CH	69469	4625	190505	76985	123	2.1972	0.473599
BOA* + CH	151206	80906	16675	9226	142	0.59062	0.461118
BOA* + CH	65826	40164	42967	16761	150	0.736605	0.41999
BOA* + CH	121237	41114	27996	10994	152	0.642682	0.416348
BOA* + CH	12856	6411	36333	20789	164	0.759302	0.466106
BOA* + CH	153314	147209	86182	36347	165	1.06792	0.414792
BOA* + CH	141879	21617	35082	17081	168	0.720243	0.415384
BOA* + CH	150351	114427	51279	27406	173	0.861057	0.420325
BOA* + CH	229305	122937	103524	45874	173	1.30734	0.416435
BOA* + CH	223402	214993	25111	12513	196	0.620178	0.425238
BOA* + CH	220444	112320	70272	26439	199	0.93184	0.414318
BOA* + CH	135529	74225	117175	42113	200	1.37439	0.438148
BOA* + CH	230583	70149	71453	28884	202	0.955978	0.417842
BOA* + CH	140274	112105	41562	18734	205	0.809559	0.462968
BOA* + CH	140656	30391	120200	53594	214	1.39365	0.421184
BOA* + CH	37208	6014	274646	113773	215	3.01268	0.469435
BOA* + CH	240557	161333	97552	42803	220	1.19612	0.421486
BOA* + CH	154145	126806	312153	138894	221	3.40452	0.457159
BOA* + CH	210149	67703	261749	116179	227	2.75269	0.422919
BOA* + CH	136819	47443	112127	38449	228	1.39357	0.41931
BOA* + CH	32916	5186	17848	10239	229	0.546018	0.410931
BOA* + CH	183534	36489	62957	26076	241	0.916973	0.411464
BOA* + CH	237332	58601	276294	104282	241	2.92236	0.43637
BOA* + CH	237935	58802	198805	70518	244	2.09737	0.41303
BOA* + CH	159467	87587	134501	58776	245	1.63637	0.41294
BOA* + CH	201043	125328	215781	95944	249	2.37332	0.417074
BOA* + CH	217848	93272	289054	121147	265	3.09917	0.412352
