BOA* + CH	2995	2515	27	8	1	0.076887	0.076737
BOA* + CH	1443	433	60	17	2	0.078539	0.078237
BOA* + CH	22660	16133	113	34	2	0.081423	0.080632
BOA* + CH	35027	15790	124	18	2	0.08004	0.079415
BOA* + CH	199719	25126	408	65	2	0.083072	0.08092
BOA* + CH	15430	13102	141	37	3	0.087117	0.086113
BOA* + CH	78621	73259	100	27	3	0.086819	0.086199
BOA* + CH	4531	638	117	24	4	0.080478	0.079723
BOA* + CH	25783	25006	263	55	5	0.084641	0.082905
BOA* + CH	36255	28938	291	72	6	0.082828	0.08114
BOA* + CH	59415	57572	173	38	6	0.08041	0.079466
BOA* + CH	119727	59624	174	59	6	0.080797	0.079592
BOA* + CH	36925	22048	473	165	9	0.090862	0.08655
BOA* + CH	118369	50577	555	149	9	0.084808	0.081033
BOA* + CH	14361	9409	233	96	10	0.083834	0.082291
BOA* + CH	34163	31977	404	184	11	0.082966	0.079448
BOA* + CH	76252	62469	359	148	12	0.081687	0.079099
BOA* + CH	28221	17517	356	130	13	0.083617	0.081037
BOA* + CH	44994	37058	556	346	15	0.08668	0.079706
BOA* + CH	95256	35388	827	349	21	0.086212	0.079753
BOA* + CH	181547	162984	499	221	21	0.084881	0.080466
BOA* + CH	256351	4977	316	136	23	0.083209	0.081078
BOA* + CH	41228	23956	653	369	26	0.086163	0.078581
BOA* + CH	164821	158010	618	356	26	0.101013	0.092831
BOA* + CH	261555	181288	1616	750	26	0.107495	0.090581
BOA* + CH	62542	24671	2222	440	27	0.094492	0.0812
BOA* + CH	100382	20098	2152	702	27	0.100627	0.083156
BOA* + CH	213528	67115	1500	469	28	0.091522	0.079666
BOA* + CH	48021	38268	868	445	30	0.09181	0.081903
BOA* + CH	225008	31517	587	263	30	0.089397	0.084408
BOA* + CH	195672	181405	3443	854	32	0.117438	0.086878
BOA* + CH	24977	18201	668	336	34	0.089396	0.083505
BOA* + CH	200004	30228	2243	1008	37	0.105042	0.083403
BOA* + CH	138538	3324	1251	700	41	0.091723	0.081127
BOA* + CH	253906	234570	1880	927	42	0.09868	0.079838
BOA* + CH	28493	5425	4151	1151	43	0.111895	0.079815
BOA* + CH	20754	7330	317	192	44	0.082377	0.079896
BOA* + CH	39855	20386	1429	586	47	0.094476	0.080996
BOA* + CH	40931	18273	2217	783	49	0.098865	0.082095
BOA* + CH	36274	34196	4202	1459	50	0.115522	0.079759
BOA* + CH	90568	57876	1665	841	50	0.092773	0.079622
BOA* + CH	178689	1476	2168	847	55	0.099157	0.081588
BOA* + CH	250971	8825	2290	778	56	0.100488	0.081757
BOA* + CH	125217	38247	3312	1372	60	0.114828	0.083054
BOA* + CH	249958	179744	2541	1583	64	0.108622	0.079786
BOA* + CH	48345	4503	5497	2185	65	0.152875	0.092817
BOA* + CH	149399	60601	2340	1044	65	0.10121	0.079948
BOA* + CH	134597	85328	27791	6486	75	0.301051	0.079409
BOA* + CH	68380	18692	9672	1946	86	0.161322	0.088381
BOA* + CH	177807	18352	5895	2994	86	0.156232	0.081216
BOA* + CH	186123	3616	3139	1260	88	0.102085	0.078372
BOA* + CH	198304	20764	3863	1651	88	0.124809	0.087839
BOA* + CH	41921	22388	17422	5954	89	0.263835	0.080232
BOA* + CH	45994	12187	6372	1713	89	0.129266	0.081199
BOA* + CH	111194	99775	2905	1057	91	0.107432	0.08263
BOA* + CH	195290	155602	23787	4951	96	0.270669	0.082264
BOA* + CH	35044	5537	8868	2512	104	0.154207	0.08317
BOA* + CH	220385	165371	18848	8726	108	0.306274	0.083308
BOA* + CH	251638	207423	4614	1480	108	0.121719	0.081507
BOA* + CH	67627	25726	17255	4290	111	0.230822	0.084642
BOA* + CH	10081	4812	1869	977	114	0.111986	0.089855
BOA* + CH	222011	63311	2856	914	114	0.10872	0.086752
BOA* + CH	16545	4293	3611	1256	116	0.120893	0.08799
BOA* + CH	47198	7430	13166	3724	116	0.207955	0.085818
