BOA* + CH	10628	9694	241664	41147	244	1.82853	0.023018
BOA* + CH	11673	2245	20694	3885	85	0.152399	0.031136
BOA* + CH	2536	9820	28782	6155	74	0.220167	0.022594
BOA* + CH	4111	10567	227907	39363	175	1.67855	0.02463
BOA* + CH	6527	9622	302386	47821	272	2.20816	0.02389
BOA* + CH	7839	10032	174829	37967	204	1.3269	0.021711
BOA* + CH	4125	2161	34105	5735	90	0.227916	0.022914
BOA* + CH	3341	3769	270	75	12	0.02284	0.021185
BOA* + CH	4924	5710	602	137	13	0.035479	0.031132
BOA* + CH	6740	6386	488	148	8	0.034029	0.030468
