BOA* + CH	10628	9694	959625	15210	244	13.7827	0.036854
BOA* + CH	11673	2245	75044	2724	85	1.27625	0.43738
BOA* + CH	2536	9820	82576	3554	74	1.1567	0.030318
BOA* + CH	4111	10567	831660	16315	175	12.9919	0.03576
BOA* + CH	6527	9622	1223614	18712	272	19.3688	0.047271
BOA* + CH	7839	10032	586849	14282	204	9.59796	0.102355
BOA* + CH	4125	2161	116613	4151	90	1.60121	0.044052
BOA* + CH	3341	3769	1295	74	12	0.051445	0.036025
BOA* + CH	4924	5710	1718	115	13	0.057747	0.040494
BOA* + CH	6740	6386	1670	81	8	0.051708	0.031236
