BOA* + CH	10628	9694	439753	34954	244	5.82183	0.056667
BOA* + CH	11673	2245	41473	3609	85	0.488796	0.058911
BOA* + CH	2536	9820	73868	7233	74	0.90386	0.057567
BOA* + CH	4111	10567	472989	39111	174	6.98851	0.064564
BOA* + CH	6527	9622	611172	47073	272	8.2583	0.067987
BOA* + CH	7839	10032	336844	35719	205	4.98044	0.061172
BOA* + CH	4125	2161	69615	5287	92	0.853354	0.065426
BOA* + CH	3341	3769	764	92	12	0.079624	0.072037
BOA* + CH	4924	5710	923	119	13	0.063165	0.053962
BOA* + CH	6740	6386	2200	271	8	0.065412	0.049668
